k,v,n,g,m,e,x,c,u
法律,法律,中華民國八十年罪犯減刑條例,行政＞法務部＞檢察目,1990-12-29,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010018
法律,法律,觀察勒戒處分執行條例,行政＞法務部＞矯正目,2018-06-13,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010022
法律,法律,戒治處分執行條例,行政＞法務部＞矯正目,2023-01-13,,,39,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010023
法律,法律,內政部組織法,行政＞內政部＞組織目,2025-12-10,2026-03-10,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000001
法律,法律,內政部營建署組織條例,行政＞內政部＞組織目,1981-01-21,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000008
法律,法律,內政部警政署組織條例,廢止法規＞內政部,2015-12-16,,廢,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000015
法律,法律,中央警察大學組織條例,行政＞內政部＞組織目,1995-12-20,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000022
法律,法律,國家公園管理處組織通則,廢止法規＞內政部,2010-05-19,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000027
法律,法律,各省市警察學校組織通則,廢止法規＞內政部,2002-05-15,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000031
法律,法律,臺灣警察專科學校組織條例,行政＞內政部＞組織目,1988-04-29,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000034
法律,法律,內政部警政署保安警察總隊組織通則,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000036
法律,法律,內政部警政署水上警察局組織條例,廢止法規＞內政部,2002-06-05,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000038
法律,法律,內政部警政署國道公路警察局組織條例,廢止法規＞內政部,2015-12-16,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000043
法律,法律,蒙藏委員會組織法,廢止法規＞文化部,2017-12-13,,廢,28,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000044
法律,法律,蒙古盟部旗組織法,廢止法規＞蒙藏委員會,2006-01-27,,廢,37,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000045
法律,法律,蒙古盟部旗組織法施行條例,廢止法規＞蒙藏委員會,2006-05-26,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000046
法律,法律,內政部兒童局組織條例,廢止法規＞衛生福利部,2015-06-24,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000051
