y,m,n,g,k,u
16.9,2009-10-28,建築師或技師受丙等綜合營造業委託執行綜理施工管理簽章報備登錄及收費辦法,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070173
16.9,2009-10-30,噪音管制法規費收費標準,行政＞環境部＞大氣環境目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0030017
16.8,2009-12-10,全民健康保險保險憑證收費標準,行政＞衛生福利部＞中央健康保險目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0060023
16.8,2009-11-26,工程技術顧問公司許可及登記收費標準,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070185
16.8,2009-12-21,志願自費鑑定血緣關係收費標準,行政＞內政部＞警政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080188
16.7,2010-01-06,第一類電信事業特許費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060082
16.6,2010-02-26,著作權集體管理團體規費收費準則,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070026
16.5,2010-04-12,著作權相關案件規費收費標準,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070025
16.5,2010-03-15,廣播電視業者設置電臺規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060086
16.1,2010-08-24,事業用爆炸物行政規費收費標準,行政＞經濟部＞地礦目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0020043
16.0,2010-09-24,著作財產權質權各項登記規費收費準則,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070045
16.0,2010-09-24,著作財產權人不明著作利用許可申請規費收費準則,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070046
