n,a,m,t,u
地方制度法,第 56 條,2025-12-03,比照簡任第十二職等之主管或首長，於縣（市）長卸任、辭職、去職或死亡時，隨同離職。 依第一項選出之縣（市）長，應於上屆任期屆滿之日宣誓就職。 中華民國一百十四年十一月二十一日修正之第一項及第二項規定，自一百十五年一月一日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 57 條,2025-12-03,管，依專屬人事管理法律任免外，其餘一級單位主管均由鄉（鎮、市）長依法任免之。 依第一項選出之鄉（鎮、市）長，應於上屆任期屆滿之日宣誓就職。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 59 條,2025-12-03,公所就該村（里）具村（里）長候選人資格之村（里）民遴聘之，其任期以本屆任期為限。 依第一項選出之村（里）長，應於上屆任期屆滿之日就職。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 61 條,2025-12-03,項規定停職期間，不得發給薪給，於其依第七十八條第二項、第四項或公職人員選舉罷免法第一百十七條第二項規定復職後，或於其任期屆滿後，經法院判決無罪確定或因犯罪嫌疑不足經檢察官不起訴處分確定者，予以補發。 村（里）長，為無給職，由鄉（鎮、市、區）公所編列村（里）長事務補助費，其補助項目及標,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 76 條,2025-12-03,不作為者，得代行處理。但情況急迫時，得逕予代行處理。 直轄市、縣（市）、鄉（鎮、市）對前項處分如認為窒礙難行時，應於期限屆滿前提出申訴。行政院、中央各該主管機關、縣政府得審酌事實變更或撤銷原處分。 行政院、中央各該主管機關、縣政府決定代行處理前，應函知被代行處理之機關及該自治團體相關,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 78 條,2025-12-03,通緝者。 依前項第一款或第二款停止職務之人員，如經改判無罪時，或依前項第三款停止職務之人員，經撤銷通緝或釋放時，於其任期屆滿前，得准其先行復職。 依第一項規定予以停止其職務之人員，經依法參選，再度當選原公職並就職者，不再適用該項之規定。 依第一項規定予以停止其職務之人員，經刑事判決確,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 82 條,2025-12-03,村（里）長辭職、去職或死亡者，應自事實發生之日起三個月內完成補選。但所遺任期不足二年者，不再補選，由代理人代理至該屆任期屆滿為止。 前項補選之當選人應於公告當選後十日內宣誓就職，其任期以補足該屆所遺任期為限，並視為一屆。 第一項人員之辭職，應以書面為之。直轄市長應向行政院提出並經核准,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 83 條,2025-12-03,直轄市議員、直轄市長、縣（市）議員、縣（市）長、鄉（鎮、市）民代表、鄉（鎮、市）長及村（里）長任期屆滿或出缺應改選或補選時，如因特殊事故，得延期辦理改選或補選。 直轄市議員、直轄市長、縣（市）議員、縣（市）長依前項延期辦理改選或補選，分別由行政院、內政部核准後辦,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 83-1 條,2025-12-03,下列地方公職人員，其任期調整至中華民國一百零三年十二月二十五日止： 一、應於一百零二年十二月二十日任期屆滿之縣（市）長。 二、應於一百零三年三月一日任期屆滿之縣（市）議員及鄉（鎮、市）長。 三、應於一百零三年八月一日任期屆滿之鄉（鎮、市）民代表及村（里）長。 四、應,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 83-4 條,2025-12-03,山地原住民區以當屆直轄市長任期屆滿之日為改制日，並以改制前之區或鄉為其行政區域；其第一屆區民代表、區長之選舉以改制前區或鄉之行政區域為選舉區，於改制日十日前完成選舉投票，並準用第八十七條之一第三,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
